rhhnum,region,geoid10,anyvmt,lnvmt,autotrips,anywalk,walktrips,anybike,biketrips,anytransit,transittrips,veh,hhsize,hhworker,htype,sf,hhincome,lnhhincome,income_cat,actden,jobpop,entropy,intden,pct4way,stopden,emp10a,emp20a,emp30a,emp30t,intptlat10,intptlon10
60007289,6,530330002006,1,3.79700640991537,6,0, ,0, ,0, ,2,2,1,1,1,108.48658,4.68662647869475,3,9.39745886234151,.874471346369372,.245805941331757,175.07630584776,38.5542168674699,33.74964932005,2.87008550106706,28.1627352185556,53.1841444682577,21.7994304459921,47.729221,-122.3046804
60007291,6,530610518021,1,2.81952406756533,19,0, ,0, ,0, ,2,6,0,1,1,131.32586,4.87768171545746,3,5.82056883429539,.833765094477436,.10081100706998,163.040461786091,12.7659574468085,31.2205139590387,1.95979592114146,11.175684982714,23.9966538135651,7.0734914974694,47.8467953,-122.2876936
60007292,6,530530634002,1,4.5458704437068,8,0, ,0, ,0, ,2,4,1,1,1,51.38838,3.93941207686453,2,3.65907402065658,.926397583498935,.00720028249393362,118.715948098398,38.2978723404255,0,1.11447038726954,11.6974363273055,17.4448570224605,9.52949492294936,47.1754868,-122.426194
60007293,6,530330005003,1,3.37518633274889,6,0, ,0, ,0, ,2,2,0,1,1,39.96874,3.68809764858362,2,7.29852251641869,.474357367112498,.217246620820501,138.516250063988,58.695652173913,48.1795652396482,1.5261736573342,22.4594923402462,40.6477827267002,20.2004766673161,47.7152604,-122.3663004
60007298,6,530330206002,1,3.53204841766136,9,0, ,0, ,0, ,1,3,1,1,1,131.32586,4.87768171545746,3,6.05151374373032,.881554500905336,.191284466657852,128.309809868191,38.6363636363636,49.574244721801,2.70515498484361,23.0543069973131,45.1994005410083,12.7889115945247,47.7540845,-122.3265309
60007302,6,530539400102,1,3.49691697805357,10,0, ,0, ,0, ,3,2,1,0,0,51.38838,3.93941207686453,2,2.95046516601152,.323458534923973,.351982807666602,148.334940295187,13.8888888888889,0,.89737606423228,10.3042492263218,19.7430663482843,6.73864630107069,47.201336,-122.2746044
60007307,6,530330067003,1,2.94408329714242,4,0, ,0, ,0, ,2,2,0,3,0, , , ,33.7572049382517,.246022817277881,.451065901627217,344.316491414953,48.4375,59.179396961945,19.3529988808286,31.732189543224,57.9926166407641,28.5600523790321,47.6314598,-122.3478682
60007317,6,530330031004,1,2.93944788146131,7,0, ,0, ,0, ,2,2,1,1,1,51.38838,3.93941207686453,2,9.80251096222625,.333013622263217,.255410215246009,185.765845214182,72.5274725274725,22.4552120588572,4.18380916995546,26.6440378071491,47.8999111912605,11.2260363662726,47.6812294,-122.3950644
60007351,6,530530723051,1,3.73360081296597,5,0, ,0, ,0, ,1,1,1,1,1,131.32586,4.87768171545746,3,6.25083086786737,.715004572616431,.352935316513607,145.529417154684,40.7407407407407,26.9498920656823,2.1285211985555,9.61807710954739,16.0546717474932,7.66009361166113,47.240896,-122.5165363
60007391,6,530610538011,1,4.17334722820022,2,0, ,0, ,0, ,5,2,2,1,1,108.48658,4.68662647869475,3, , , , , , ,0,0,0,0,47.8157944,-121.7829622
60007418,6,530530735001,1,4.55202596204812,23,0, ,0, ,0, ,1,2,2,3,0,17.12946,2.84079978819642,1,1.27624334801029,.473596410980908,0,120.126224940976,0,0,.0659268959080014,7.02415960199185,18.3933207671988,9.52026289199317,47.2113229,-122.2710597
