Brooklyn Rolling Sales.  All Sales From October 2021 - September 2022,,,,,,,,,,,,,,,,,,, PTS Sales Data as of 10/11/2022 ,
"For sales prior to the Final Roll, Neighborhood Name and Descriptive Data reflect the most recent Final Roll.  Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data.",,,,,,,,,,,,,,,,,,  ,  ,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6396,14,,B1,149 BAY 11 STREET,,11228,2,0,2,"1,949","2,235",1965,1,B1,"1,388,000",6/23/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6396,26,,B1,121 BAY 11 STREET,,11228,2,0,2,"1,933","2,176",1925,1,B1,0,2/9/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6396,39,,B1,1554 BENSON AVENUE,,11228,2,0,2,"1,800","2,268",1930,1,B1,0,5/31/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6397,48,,B3,92 BAY 13TH STREET,,11214,2,0,2,"1,923","1,554",1920,1,B3,"530,000",10/11/2021
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6398,2,,S2,1645 BATH AVENUE,,11214,2,1,3,"2,082","3,000",1935,1,S2,"739,000",9/13/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6398,38,,B3,1636 BENSON AVENUE,,11214,2,0,2,"2,030","1,778",1925,1,B3,"999,000",11/9/2021
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6399,16,,B3,147 BAY 14TH STREET,,11214,2,0,2,"3,792","1,178",1930,1,B3,"700,000",3/10/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6399,18,,B2,135 BAY 14TH STREET,,11214,2,0,2,"5,417","3,000",1910,1,B2,"1,630,000",11/23/2021
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6399,62,,B2,8726 17TH AVENUE,,11214,2,0,2,"2,085","1,816",1930,1,B2,"980,000",2/15/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6400,7,,S2,1709 BATH AVENUE,,11214,2,1,3,"1,450","3,716",1925,1,S2,0,11/9/2021
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6400,52,,B3,8702 BAY 16 STREET,,11214,2,0,2,"2,707","1,698",1905,1,B3,"1,142,500",11/17/2021
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6402,56,,B2,93 BAY 17TH ST,,11214,2,0,2,"2,288","1,842",1920,1,B2,"910,000",2/16/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6402,71,,B1,55 RUTHERFORD PLACE,,11214,2,0,2,"1,820","2,910",1992,1,B1,"1,230,000",2/25/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6408,14,,B3,125 BAY 23RD STREET,,11214,2,0,2,"2,034","1,420",1920,1,B3,"999,500",11/8/2021
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6408,20,,B9,109 BAY 23RD STREET,,11214,2,0,2,"2,772","2,520",1940,1,B9,"1,380,000",6/13/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6408,111,,B3,131 BAY 23RD STREET,,11214,2,0,2,"2,016","1,420",1920,1,B3,0,7/11/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6409,11,,B1,8733 20TH AVENUE,,11214,2,0,2,"1,933","2,125",1950,1,B1,0,2/28/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6412,19,,B2,8731 21ST AVENUE,,11214,2,0,2,"3,287","2,498",1925,1,B2,"1,500,000",5/4/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6424,9,,B9,1403 CROPSEY AVENUE,,11228,2,0,2,"1,885","1,765",1935,1,B9,0,2/22/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6424,10,,B9,1401 CROPSEY AVENUE,,11228,2,0,2,"1,907","2,012",1935,1,B9,0,4/11/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6424,27,,B9,8803 14TH AVENUE,,11228,2,0,2,"2,433","1,802",1935,1,B9,"1,111,000",3/8/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6424,70,,B3,232 BAY 7TH STREET,,11228,2,0,2,"1,740","1,760",1935,1,B3,0,3/18/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6425,27,,B3,203 BAY 7TH STREET,,11228,2,0,2,"3,866","1,480",1935,1,B3,"1,325,000",7/13/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6425,59,,B3,206 BAY 8TH,,11228,2,0,2,"5,220","2,954",1950,1,B3,0,1/27/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6427,29,,B3,8791 15TH AVENUE,,11228,2,0,2,"2,900","1,938",1920,1,B3,0,5/17/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6427,41,,B1,176 BAY 10TH STREET,,11228,2,0,2,"2,147","1,635",1955,1,B1,"1,250,000",4/12/2022
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6428,14,,B2,227 BAY 10TH STREET,,11228,2,0,2,"3,867","2,940",1920,1,B2,0,10/22/2021
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6429,6,,B3,243 BAY 11TH STREET,,11228,2,0,2,"1,534","1,456",1935,1,B3,0,10/15/2021
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6429,21,,B1,207 BAY 11TH STREET,,11228,2,0,2,"1,824","1,691",1950,1,B1,"813,000",4/8/2022
