Detector,X_CORD,Y_CORD,1,2,3,4,5
J89Jul,423554,6519810,1,1,1,0,0
J90Jul,423208,6520079,1,1,1,0,0
J91Jul,422744,6520145,1,1,1,0,0
J92Jul,422294,6520136,1,1,1,0,0
J93Jul,422178,6520649,1,1,1,0,0
J94Jul,422197,6521053,1,1,0,0,0
J95Jul,422206,6521553,1,1,1,0,0
J96Jul,422155,6519594,1,1,1,0,0
J97Jul,421646,6519370,1,1,1,0,0
J98Jul,421331,6519423,1,1,1,0,0
J99Jul,420877,6519416,1,1,1,0,0
J100Jul,420728,6519163,1,1,1,0,0
BC01Dry,492854.537,6364945.632,1,1,1,1,0
BC02Dry,492853.2918,6364467.946,1,1,1,1,0
BC03Dry,493035.8173,6364098.92,1,1,1,1,0
BC04Dry,493033.8326,6363729.097,1,1,1,1,0
BC05Dry,493222.1711,6363312.181,1,1,0,1,0
BC06Dry,493185.2757,6362820.501,1,1,1,1,0
BC07Dry,493446.3782,6362672.017,1,1,1,1,0
BC08Dry,493923.8821,6362618.446,1,1,1,0,0
BC09Dry,494462.7156,6362622.421,1,1,1,1,0
BC10Dry,494655.1346,6362293.501,1,1,1,1,0
BC11Dry,494458.397,6361816.592,1,1,1,1,0
BC12Dry,494253.1409,6361384.017,0,1,1,1,0
BC13Dry,494595.4196,6361158.503,1,1,1,1,0
BC14Dry,495023.2845,6361078.689,1,1,1,1,0
BC15Dry,495499.3611,6361095.324,1,1,1,1,0
BC16Dry,495958.6862,6360909.503,1,1,1,1,0
BC17Dry,496361.2392,6360675.195,1,1,1,1,0
BC18Dry,496757.9008,6360664.801,1,0,1,1,0
BC19Dry,497096.8947,6360834.187,1,1,1,1,0
BC20Dry,497564.6276,6360895.508,1,1,1,1,0
BC21Dry,497889.0543,6361054.442,1,1,1,1,0
BC22Dry,498021.1251,6361509.542,1,1,1,1,0
BC23Dry,497606.1715,6361600.908,1,1,1,1,0
BC24Dry,497347.1684,6361934.081,1,1,1,1,0
BC25Dry,497302.3183,6362436.699,1,1,1,1,0
