Detector,X_CORD,Y_CORD,1,2,3
M47Dry,505202.4085,6371745.041,0,0,0
M48Dry,505121.6077,6371212.418,0,0,0
M49Dry,505104.6877,6370719.78,0,0,0
M50Dry,505189.378,6370286.286,0,0,0
N01Per,459552.288,6228497.369,0,0,0
N02Per,459954.0413,6228267.56,0,0,0
N03Per,460376.2702,6228056.227,0,0,0
N04Per,460825.2084,6227984.144,0,0,0
N05Per,461023.9858,6227545.429,0,0,0
N06Per,461144.2936,6227116.92,0,0,0
N07Per,461395.2103,6226709.791,0,0,0
N08Per,461803.7838,6226451.325,0,0,0
N09Per,461580.3179,6226149.591,0,0,0
N10Per,461213.0058,6225797.142,0,0,0
N11Per,461100.9934,6225538.989,0,0,0
N12Per,462166.9524,6226124.355,0,0,0
N13Per,462556.8078,6225806.348,0,0,0
N14Per,462706.5671,6225393.792,0,0,0
N15Per,462466.2763,6224985.565,0,0,0
N16Per,462670.0785,6224547.279,0,0,0
N17Per,462876.8339,6224080.281,0,0,0
N18Per,463240.6589,6225442.905,0,0,0
N19Per,463752.9923,6225467.288,0,0,0
N20Per,464241.0017,6225364.258,0,0,0
N21Per,464627.2094,6225130.756,0,0,0
N22Per,466537.5474,6224725.03,0,0,0
N23Per,466639.6625,6225212.72,0,0,0
N24Per,466782.2469,6225656.975,0,0,0
N25Per,466940.7699,6226083.985,0,0,0
N26Per,466954.584,6226668.825,0,0,0
N27Per,466774.9971,6227059.607,0,0,0
N28Per,466547.9272,6227465.187,0,0,0
N29Per,466332.5558,6227741.071,0,0,0
N30Per,465656.378,6220753.585,0,0,0
N31Per,465232.5601,6220817.338,0,0,0
N32Per,464741.73,6220927.06,0,0,0
N33Per,464371.5826,6221201.21,0,0,0
N34Per,463897.6481,6221296.427,0,0,0
N35Per,463665.1191,6221757.472,0,0,0
N36Per,463505.9957,6222256.163,0,0,0
N37Per,463409.2442,6222715.953,0,0,0
N38Per,463245.1611,6223202.201,0,0,0
N39Per,463025.9377,6223636.559,0,0,0
N40Per,465112.7969,6225076.571,0,0,0
N41Per,465552.8363,6224891.575,0,0,0
N42Per,465973.6298,6224795.971,0,0,0
N43Per,466217.5654,6224357.089,0,0,0
S01Per,468265.7153,6216357.25,0,0,0
S02Per,468338.6863,6216850.484,0,0,0
S03Per,468449.493,6217329.873,0,0,0
S04Per,468391.054,6217800.487,0,0,0
S05Per,468329.8148,6218279.962,0,0,0
S06Per,468170.9171,6218747.463,0,0,0
S07Per,468105.9535,6219233.132,0,0,0
S08Per,467951.3038,6219717.498,0,0,0
S09Per,467827.0359,6220181.119,0,0,0
S10Per,467605.9025,6220609.366,0,0,0
S11Per,467367.327,6221037.326,0,0,0
S12Per,467179.0641,6221492.178,0,0,0
S13Per,467254.4051,6221962.916,0,0,0
S14Per,467381.3116,6222455.01,0,0,0
S15Per,467526.5174,6222911.905,0,0,0
S16Per,467712.1399,6223337.556,0,0,0
S17Per,468117.6597,6223068.828,0,0,0
S18Per,468456.5684,6222695.187,0,0,0
S19Per,468786.1529,6222400.562,0,0,0
S20Per,469286.3851,6222469.07,0,0,0
S21Per,469727.1381,6222657.556,0,0,0
S22Per,470196.5232,6222836.022,0,0,0
S23Per,470617.3717,6223091.044,0,0,0
S24Per,471066.5367,6223290.581,0,0,0
S25Per,471452.4299,6223380.021,0,0,0
S26Per,468626.9013,6221937.542,0,0,0
S27Per,468945.667,6221726.924,0,0,0
S28Per,469250.112,6221436.858,0,0,0
S29Per,469106.4805,6221043.863,0,0,0
S30Per,468702.6178,6220738.266,0,0,0
S31Per,468326.8953,6220487.633,0,0,0
S32Per,467997.1093,6220152.205,0,0,0
S33Per,468407.6445,6220021.309,0,0,0
S34Per,468871.7403,6219940.36,0,0,0
S35Per,469294.2351,6220035.666,0,0,0
S36Per,469519.6886,6219611.608,0,0,0
S37Per,469963.009,6219446.156,0,0,0
S38Per,470462.4957,6219498.966,0,0,0
S39Per,470954.3074,6219472.001,0,0,0
S40Per,471427.4377,6219464.801,0,0,0
S41Per,471897.4341,6219364.76,0,0,0
S42Per,472392.8636,6219325.756,0,0,0
S43Per,467295.3988,6220566.711,0,0,0
S44Per,466803.9044,6220483.823,0,0,0
S45Per,466336.4371,6220283.348,0,0,0
S46Per,465906.4904,6220061.586,0,0,0
S47Per,465437.9267,6219894.327,0,0,0
S48Per,464946.0422,6219781.179,0,0,0
S49Per,464472.3246,6219741.923,0,0,0
S50Per,463970.6311,6219740.014,0,0,0
S51Per,463533.2233,6219537.407,0,0,0
S52Per,463072.5209,6219262.946,0,0,0
S53Per,462445.9078,6219344.071,0,0,0
S54Per,462456.5078,6218859.218,0,0,0
S55Per,462648.9127,6218427.537,0,0,0
S56Per,462841.6146,6218126.142,0,0,0
S57Per,462831.7823,6217629.565,0,0,0
X31Per,463976.56,6219804.02,0,0,0
X32Per,465447.59,6221630.35,0,0,0
X33Per,465042.57,6221958.62,0,0,0
Z30Per,466230.0628,6221259.292,0,0,0
Z31Per,465958.0864,6221672.904,0,0,0
Z32Per,465447.5897,6221630.349,0,0,0
Z33Per,465042.5697,6221958.619,0,0,0
Z34Per,464743.1636,6222365.33,0,0,0
Z35Per,464676.4399,6222873.7,0,0,0
Z36Per,464439.6473,6223291.946,0,0,0
Z37Per,463931.7727,6223458.113,0,0,0
Z38Per,463478.1163,6223572.57,0,0,0
Z41Per,464153.8008,6224891.234,0,0,0
Z42Per,463768.051,6224549.459,0,0,0
Z43Per,463363.6705,6224215.579,0,0,0
