3036143C7C5CED4020000300,7,2023-08-23, 7:16:09 AM EDT,,-52,64
30361431CC4B77C020089F80,1,2023-08-23, 7:26:24 AM EDT,,-61,46
3036143C7C4E63C020001DA8,4,2023-08-23, 7:21:05 AM EDT,,-47,74
30361431CC4B77C02008F21B,1,2023-08-23, 7:23:05 AM EDT,,-55,58
30361431CC4B780020032E9D,1,2023-08-23, 7:19:56 AM EDT,,-55,58
3036143C7C4A50802000F1D1,7,2023-08-23, 7:25:00 AM EDT,,-61,46
3036143C7C60CB4020000A07,7,2023-08-23, 7:16:58 AM EDT,,-61,46
3036143C7C61314020000506,9,2023-08-23, 7:17:06 AM EDT,,-59,50
30361431CC4B778020009D12,2,2023-08-23, 7:19:11 AM EDT,,-45,78
3036143C7C5247C020000699,5,2023-08-23, 7:21:49 AM EDT,,-52,64
3036143C7C5B83402000098E,4,2023-08-23, 7:21:40 AM EDT,,-52,64
3036143C7C57C38020000042,1,2023-08-23, 7:20:23 AM EDT,,-51,66
303614456C03F5002000029A,3,2023-08-23, 7:21:37 AM EDT,,-53,62
30361431CC61A7C11000762A,2,2023-08-23, 7:28:44 AM EDT,,-49,70
30361431CC61A7C110007627,4,2023-08-23, 7:27:20 AM EDT,,-46,76
30361438BC584C802000064E,1,2023-08-23, 7:27:48 AM EDT,,-51,66
3036143C7C329500200005D7,1,2023-08-23, 7:18:53 AM EDT,,-57,54
30361431CC4B77C02007A901,3,2023-08-23, 7:19:07 AM EDT,,-59,50
3036143C7C305D0020001135,7,2023-08-23, 7:25:03 AM EDT,,-62,44
3036143C7C583EC020001178,10,2023-08-23, 7:25:00 AM EDT,,-62,44
3036143C7C4F444020000243,3,2023-08-23, 7:21:46 AM EDT,,-55,58
30361431CC4B7740200274BD,4,2023-08-23, 7:20:31 AM EDT,,-38,92
30361431CC4B77C02007A6FC,1,2023-08-23, 7:22:18 AM EDT,,-52,64
3036142C844671C02000145D,2,2023-08-23, 7:24:28 AM EDT,,-54,60
30361431CC4B77C02008F7D8,5,2023-08-23, 7:21:47 AM EDT,,-49,70
30361431CC61A7C110007654,8,2023-08-23, 7:25:09 AM EDT,,-56,56
303614456C054AC020000263,1,2023-08-23, 7:27:56 AM EDT,,-43,82
3036143C7C51AD402000134A,2,2023-08-23, 7:17:05 AM EDT,,-62,44
3036143C7C5CA9C0200002EA,1,2023-08-23, 7:16:12 AM EDT,,-58,52
30361431CC4B77C02006CCAC,2,2023-08-23, 7:19:28 AM EDT,,-58,52
303614456C067F80200000A7,8,2023-08-23, 7:25:13 AM EDT,,-62,44
3036143C7C47410020000794,1,2023-08-23, 7:21:30 AM EDT,,-54,60
